landlord,country_code,city,state,zip,review,repair,health,stability,privacy,respect,date_added,flagged,flagged_reason,admin_approved,admin_edited
LAURA RODERICK,US,OLYMPIA,WASHINGTON,98502,Laura Roderick broke multiple laws when our year-long lease was ending. She attempted to buy us out of the last four months of our lease by offering a single month of rent in exchange for leaving early so she could sell the home. We declined. We offered to buy the home but she asked for an amount that was impossible to have financed considering the house wasn't repaired after a roof leak. She has continued to rent the home to tenants. Violations to tenant law abound.,3,2,1,3,1,2023-04-18T20:14:44.437Z,false,,,false
ELEMENT COMMUNITIES,US,EUGENE,OREGON,97401,"Random people in and out of the building despite the ""security"" measures. Thefts from the locked bike storage, and then left unsecured for a week before repair. The gate to the parking garage was broken most weekends. 
Charged and paid at move out. Then months later get a call claiming I owe them money. After I've already paid my final bill. 
Now they have fake charges and fully lied about cleanliness (I had pictures to prove it). Incorrect billing that the never was corrected. And when confronted with photos they tried to change reasons for charges not once but twice! Total and utter scam. They were trying to get me to pay for them to renovate their old apartment.",2,3,2,2,2,2023-04-18T20:25:31.591Z,false,,,false
ZOLPER,US,MILWAUKEE,WISCONSIN,53212,"Nick Zolper was cruel and yelled over the phone.
-they would not fix the basement flooding every time we ran the washer/dryer
-they tried to “fix” our wasp infestation problem by sending a normal tech person with no protective gear and one bottle of wasp killer (i refused this after the worker told me they were allergic)
- they had allowed the house’s foundation to sink so much it was visible between the floor boards and wall
- they didn’t do the yard maintenance required 
all in all, a terrible company",1,1,1,2,1,2023-04-18T20:26:20.998Z,false,,,false
MODE ROMAN APARMENTS LLC,US,MORGANTOWN,WEST VIRGINIA,26505,"Took my entire security deposit. I sent them pictures before I moved in highlighting specific issues. They tried to charge me for those same issues. They did refund me after I sent them irrefutable proof. But only on the items I had proof of. 

Landlord unlocked my unit while I was in it (0 notice). And entered while I was in my room. I thought someone was breaking in. 

In a college town they really take advantage. They have forced arbitration agreements.",3,3,3,1,3,2023-04-18T20:38:05.373Z,false,,,false
SCOTT DORN,US,MINNEAPOLIS,MINNESOTA,55411,"Seems reasonable until you actually need things fixed. Washer locks itself after every wash, requiring you to basically jump over it to unplug and plug it back in. He refuses to fix it. Tiles all over the floor are shattered, harmed my cat's paw and was dangerous for baby, he refuses to fix it. He leaves things on the bare minimum edge of working, and charges if you don't literally pull out the fridge and clean behind it, which isn't normal and completely ridiculous. Prepare to be nickel'd and dime'd. Plus 2 people were shot across the street while I lived there.",1,3,4,4,3,2023-04-18T20:50:42.665Z,false,,,false
ASHLEY TAYLOR AT THE VERMONT INN APT,US,SEATTLE,WASHINGTON,98121,"Ms. Taylor uses her position at the property to treat people as she sees fit. She has her staff to afraid to tell her no so they now do her dirty work. She makes racial comments, she discusses tents private business out in the open with mix company present. Just to get a former tenant kicked out under default so that she could keep their 3 months of rent they had paid in advance, she made two of her staff members lie to law enforcement that they didn't feel safe. They gave that man 72 hours to move out. Another tentant unfortunately was arrested for only 22 days. She had already took their stuff out of their apt and move someone else in, even though she excepted the rental payment from the HEN program on the persons behalf. Yes, she took federal funding and still put the person on the streets all in less than 20 days. Our property gets taken and never returned by her staff, they spy on us and come into our units without permission & she lies on people in order to get what she wants. This is not even making a dent in all the things that are happening under her command. Everyone is scared of what she will do next. Currently she is try to force someone who is going through a financial situation out because she has already sold their place to another. Which is not possible nor is it legal. She has not right to treat people this way. Yet her employees do whatever they want, from paying for prostitute to allowing outside people into people's apts. I currently still stay there but am begging for help to stop the discrimination and racisist behaviors we are all subjected to by her.",2,2,1,1,1,2023-04-18T20:56:25.255Z,false,,,false
LES IMMEUBLES FORTIER INC.,CA,MONTREAL,QUEBEC,J5R0N8,"These guys tell you that they are coming by to repair something, and then they never do. This has happened 10+ times now and I haven’t even lived here 2 years. I literally called them up after they never showed up and they told me ‘Don’t worry, we’ll be there within the hour, we haven’t forgotten about you’. NEVER SHOWED UP. Also there was a repair man that showed up for one of the elevators, and he had to knock on my door to get his number. Some service!",1,1,5,5,1,2023-04-18T20:57:05.060Z,false,,,false
"MY HOME PHD, LLC - MICHAEL BRUMM",US,MILWAUKEE,WISCONSIN,53212,"Landlord does not repair anything nor address removing of mold, nor employing pest control when necessary. The landlord also applies unjustified rent increases, while demanding tenants remove snow and pay for salt themselves. Mowing of the yard only takes place by landlord when the city sends notices (months). To be fair though, I don't think the landlord is alone in doing as little as possible as a tour around the city would validate this statement.",1,1,1,2,2,2023-04-18T20:59:03.254Z,false,,,false
NANCY MCCORMICK,US,BEND,OREGON,97703,"Nancy is a insane landlord do not ever rent from her if you want a decent place to live and a decent human to work with. She will call you with pointless questions as late as 11 pm at night. Nancy will also never fix anything in your house, she will either make you fix it yourself or put it off to only hire a person who messes it up more. Nancy broke our lease after we had rented from her for over 3 years stating that since on of our 3 rooomates on the lease was moving. She refused to re write the lease and left of without housing. Long story short nancy will ruin your live if you rent from her do not recommend at all.",1,1,1,3,3,2023-04-18T21:04:07.825Z,false,,,false
ANGELA BARDAWIL,US,HOLYOKE,MASSACHUSETTS,01040,"Angela is a terrible landlord. She doesn’t hold her tenants to a common standard. She did nothing to address the mouse infestation. She kept the deposit without cause and did not follow the legal requirements to do so. 
On the positive side, rent did not increase wildly from year to year.",3,1,4,3,1,2023-04-18T21:07:45.262Z,false,,,false
JOHN LUSH,CA,PETERBOUGH,ONTARIO,K9H4Z5,"This guy would stop by and let himself in just to do "" inspections"". He would email me at night seemingly drunk and try to start trouble. He would tell us how to lay out our furniture and micro manage our home. We keep a very clean home and there was no reason for anything other then him needing to feel like he's incharge. If tour thinking about renting from him be cautious.",3,3,2,2,1,2023-04-18T21:20:00.351Z,false,,,false
FRANK D'OSTILIO / REAL PROPERTY MANAGEMENT OF SOUTHERN CONNECTICUT,US,NEW HAVEN,CONNECTICUT,06511,Total slumlord. Found in violation of housing code violations and still didn't do meaningful repairs. Threatens tenants. Thinks he's above the law.,1,1,1,1,1,2023-04-18T21:30:30.752Z,false,,,false
WIMBLEDON SQUARE AND GARDENS,US,PORTLAND,OREGON,97202,"They openly advertised for amenities not provided (gym, tanning, pools, laundry facilities); there is no cut in rent for lack of advertised amenities. Only two of their four laundry facilities were ever opened in the two years I lived there. Management drained the pools four months into my lease due to the local homeless population coming and bathing in/trashing it (one of which was tarped over for the whole two years and never functional to my knowledge). Maintenance was abysmal. I went a week without hot water because the complex maintenance people didn't communicate; I only had the problem rectified when I threatened to call my own plumber and take the bill off my rent. My front door was not secure, would not lock easily, and had a 1/4 inch gap on the top and bottom; maintenance didn't see this as a security issue or problem, and my father ended up fixing the molding when visiting one day. They've upped the rent over $400 on the unit I left, with no repairs or reason to do so. Office staff live on property (discount on rent as a perk) and while you think this would help, you would be wrong.",1,3,2,3,3,2023-04-18T21:33:58.544Z,false,,,false
CAMDEN MIDTOWN,US,HOUSTON,TEXAS,77010,"Great place to live while it lasted. Once rents started to creep up however, the hit our lease renewal with a 20% increase in rent. Obviously couldn’t afford this and had to move. They charge a cleaning fee, held our deposit, then sent us to collections over “our pet ruining the carpet”. We never had a pet or any animals (I’m very allergic to cat and dog fur). Tried disputing the charge but now it just lives on my credit report.",5,5,1,3,1,2023-04-18T22:03:48.799Z,false,,,false
MARY ELLEN PENICOOK,US,LA GRANGE,ILLINOIS,60525,"During our tenancy, our lower-level rental apartment flooded around half a dozen times due to rain. We always notified the landlord about this. She insisted on sending someone around to clear the gutters. The floods kept getting worse every time, so it was clear that the gutters weren’t the problem: the insulation on the side of the building was inadequate. The landlord simply ignored our requests for a proper fix.

Understandably, we decided not to renew our lease. However, we made this decision during the early days of the COVID-19 pandemic when nobody knew just how infectious and deadly the virus was, and there was no vaccine in sight.

We thought we had two choices:

1. Potentially, we could compromise our health by staying in our apartment until the end of our lease. In this scenario, we'd risk our health by letting our landlord and potential new tenants in for showings.

2. Alternatively, we could compromise our budget. We'd give the landlord an extra month's notice. We'd empty out the apartment as much as possible during the first month of our notice period, and we'd move into a new place with most of our belongings at the beginning of the second month. This way, the landlord could let people in for showings without us being there during the second month. We'd then complete moving out on days when the landlord has no showings scheduled. We'd effectively pay two rents during the second month of our notice period, but at least we would not risk contracting COVID.

The landlord agreed with the 2nd option. To our surprise, we managed to move out all our things before the second month of our notice period. But we still had to clean the apartment before handing it over. When we returned with cleaning supplies at the beginning of the second month of this arrangement, we found someone living there. Turns out, the landlord didn't need to schedule any showings. She already had someone lined up. The moment she noticed that our things were gone, she let someone else move in and thereby collected rent twice for the same apartment: rent from us and rent from the new tenant.

We suspected this wasn't just unethical, but illegal as well. When we consulted with a lawyer, they told us that this indeed constituted an illegal eviction. Despite having clear documentation of our arrangement, the landlord denied all accountability or wrongdoing and even accused one of us of being an ungrateful, belligerent immigrant. (We paid rent on time every month during our tenancy, and we kept the place very tidy.)

This landlord has no regard for the law or for the safety of her tenants. She also happens to be a xenophobe.",1,1,1,1,1,2023-04-18T22:09:05.984Z,false,,,false
MARSHA BEHARIE AN LAWRENCE DAVID,US,SYRACUSE,NEW YORK,13208,There's no insulation in the walls the house is cold in the winter time and hot in the summer the outlets don't work rodents and roaches we had a gas leak and July of last year and she evicted us for calling code enforcement,1,1,2,3,1,2023-04-18T22:10:09.705Z,false,,,false
CARMEL MANOR APARTMENTS,US,CORPUS CHRISTI,TEXAS,78411,Lived here in the late 2010’s. Apartment was fairly clean and maintained throughout our stay. Rent went up every renewal by about 5%. Got most of my deposit back when moving out.,5,5,4,5,5,2023-04-18T22:13:11.542Z,false,,,false
NORTHPOINT ASSET MANAGEMENT,US,DALLAS,TEXAS,75208,"Northpoint is a very messy company. They have a mandatory $50/month “benefits package” that includes nothing more than a $16 air filter, and they won’t tell you that until you’re there to sign the lease. The property managers don’t stay employed for long, so they’re always assigning you new managers who basically ignore your texts and calls until they raise your rent and charge you a $100 renewal fee. We met the property owner of our property a few months ago, and he even rolled his eyes when I brought the management company up. Unfortunately we have to see through one more year, but we’ve already notified them that we intend to leave after this term.",2,3,1,4,1,2023-04-18T22:47:51.489Z,false,,,false
TERRI AND STEVE ALLAN,US,JOHNSON CITY,NEW YORK,13905,This is student housing for women. Only the landlords husband comes to clean the common areas. Acts like a Doberman. Rent is 3 days late because the university hasn’t deposited your loan refund check and he comes banging on your bedroom door like the FBI. Faucet in the bathroom doesn’t divert much of the water to the shower-head so we pay for the water bill and electricity/heat. All that money goes down the drain. My room is <55 degrees when the temp drops below 30. Won’t allow A/C but we pay the electric so there’s no sleeping after April because the upstairs is consistently 85. I broke my ankle and was forced to go down two flights of stairs to get to my “designated” refrigerator because I wasn’t allowed a mini fridge. 0/10 do not recommend!!!!!!!!!!!!,1,1,3,1,1,2023-04-18T23:25:50.862Z,false,,,false
THE SPINNEY GROUP,US,DELMAR,NEW YORK,12054,"The actual apartments (Adam's Station) aren't bad. However, they are very expensive (with rates being recently raised even higher for an already expensive complex) and OMG THERE IS ALWAYS WORK GOING ON. This isn't entirely a bad thing as the apartments are always being improved, but there's always someone entering my unit or banging on my walls or there's a loud truck outside. They decided to replace the windows, hvac and siding DURING THE WINTER. Like, WHY? They left me without a working heater and large gaps in the windows (I could see outside) during single digit temps. Their solution? A COUPLE SPACE HEATERS. The best part? I couldn't even use all of the heaters at once BECAUSE ALL WALL PLUGS WERE ON THE SAME BREAKER. So if I used more than one, the breaker would trip. The office is hit or miss. There's one employee who's super friendly and awesome, while the other (the property manager I believe) is always mean and has an attitude.",4,5,2,1,2,2023-04-18T22:49:29.467Z,false,,,false
NEIGHBORWORKS,US,ANCHORAGE,ALASKA,99501,Very average experience. They raised my rent after 1 year. Never had any other problems with them.,4,4,3,4,4,2023-04-18T22:50:04.117Z,false,,,false
CBZ MANAGMENT,US,DENVER,COLORADO,80206,"The property that I live at use to be a beautiful complex with trees and rose bushes and now it feels rotted and dead. Gas leaks, days without hot water, smoking allowed in units, holes in windows, rodents, bugs, black mold, and foundation cracks are just some of the few items that this landlord allows.",1,1,1,1,1,2023-04-18T22:53:24.094Z,false,,,false
EQUITY RESIDENTIAL (THIRD SQUARE),US,CAMBRIDGE,MASSACHUSETTS,02142,"Massive faceless corporation. Not the worst, but not good by any means.
Anything that is nonsensical or stupid, they'll just say ""came down from corporate and out of their hands"". Dealing with leasing office was the most negative part of my experience.

Front desk staff were wonderful though! Wish I could give them separately a 5/5!",5,4,2,3,2,2023-04-18T22:54:44.478Z,false,,,false
AURORA MILITARY HOUSING,US,ANCHORAGE,ALASKA,99506,"Absolutely horrible experience. They took days to send someone to fix our heat in the middle of winter. Moving out was also incredibly stressful, they will do everything they can to keep your security deposit (and charge you even more) including pulling up all your carpets and charging if there is any amount of ice or snow on your driveway in the winter. Expect to be exploited by them if you are a military member PCSing. If Anchorage's housing market was not so bad there would be no reason at all to live on base and have to deal with Aurora.",2,3,2,4,3,2023-04-18T22:55:31.566Z,false,,,false
KAIROI MANAGEMENT (AXIS 110),US,RICHARDSON,TEXAS,75801,"Multiple issues with the maintenance team entering my unit during business hours (I work overnights and sleep during the day) with the inability to schedule inspections, maintenance, or building painting to work with my hours.  Management decided to turn off the parcel lockers during the holiday season -- most packages got dumped in the mail room (because shocker: the delivery folks didn't want to locate our doors), and had multiple packages go missing -- so much so that it was easier for me to get a mailbox at the UPS store and have my packages shipped there than deal with my packages going missing constantly.

Keyfobs for the garage and doors went dead, and was told that they could not issue us replacements because ""No one knew how to work the system.""  Garage doors were broken more often than not.  Sprinklers burst during the cold weather, the hallways would flood when it rains, the natural gas was shut off to the building (with no notice to the residents...we discovered when we tried to bake a pizza and couldn't figure out why the oven wasn't getting warm), and a constant battle between the coffee maker in the public space (seriously, I cannot make this up: they wouldn't let the maintenance guys drink the coffee from the coffee maker in the community room...to the point where they *moved* the coffee machine into the leasing office, which was never open at 9:30 at night when you wanted a single cup of coffee on your way to work).  

Renting with Kairoi is basically paying money to someone who makes you feel like you are privileged for renting there, but, treats you like shit constantly when you ask for the smallest thing, and tries to find ways to extract more money from you.",5,5,5,1,1,2023-04-18T22:57:23.034Z,false,,,false
JANET URIAN AKA MAYA REALTY,US,SANTA FE,NEW MEXICO,87501,"My experience with Janet was absolutely horrendous. She attempted eviction on 3 separate occasions for false claims. One of her reasons included that I “didn’t water her garden enough” though the garden was situated in a low light area with plants that only thrive in high light. Then she made false claims about trash being left on the porch. I caught her on my doggy camera entering the apartment twice without notice or permission. She would show up to the property at odd hours, unannounced. She would call to berate me over things that were not founded in reality; at times she would be screaming and repeating the same phrase over and over, then hang up and call back, then continue to scream claiming I hung up on her. The casita had a severe mice infestation which she refused to resolve. I was catching a mouse minimum per day for at least 6 mos. She went as far as taking me to court for various false claims. I was able to collect written affidavits to provide in court from neighbors, proving she was making false claims. Her reputation was so bad, neighbors did everything they could to help protect me from her. I truly believe my situation would’ve been far worse without their affidavits and willingness to be called as witnesses, because Santa Fe is a city that gives tenants as minimal recourse as possible to protect themselves from outrageous landlords. Dealing with her was truly a nightmare and I would’ve rather lived out of my vehicle than to have dealt with what I did.",1,1,1,1,1,2023-04-18T23:09:07.247Z,false,,,false
DIMENSIONS MANAGEMENT CORPORATION,US,CHICAGO,ILLINOIS,60614,No,1,1,1,1,1,2023-04-18T23:10:32.401Z,false,,,false
EQUITY RESIDENTIAL,US,VALENCIA,CALIFORNIA,91354,"Currently at Skycrest Apartments in Valencia, CA.  The community is relatively quiet, and repairs have always been conducted quickly, but the management is out of touch, run through out of state offices, and very hard to get ahold of when there's other issues or bugs in their bookkeeping. I've repeatedly had the same conversation, about the same issue on their end, three times with three different people in different departments. They're only in the on-site office once a week and it's hard to get them to answer the phone at the main office the rest of the days.  Also, I've had $100 and $150 rent hikes each of the last two years - which is a bit nuts.  They actually tried to raise it $200 this year, but were eventually willing to negotiate.",5,4,3,5,5,2023-04-18T23:15:50.594Z,false,,,false
NESTWELL PROPERTY MANAGEMENT,US,SOUTH JORDAN,UTAH,84088,"Horrible property neglect, severe damage to infrastructure unacknowledged, no-show appointments from repair requests, passive aggressive agents, and horrifically unfair contracts that hold tenants accountable for all repairs if they see fit. The result is people who can't complain or they'll be on the hook for something that broke in their neglected unit. An absolute grift to take advantage of tenants. Run as fast as you can if they take over your building before they lock you into their extortion contracts.",1,1,1,1,1,2023-04-18T23:23:20.834Z,false,,,false
MAIN STREET VILLAGE,US,IRVINE,CALIFORNIA,92614,"Lived at this property for over five years. Before COVID, things were ok with regards to respect. But their true colors showed after COVID. I had a rental increase of 30% in 2022 and an additional 25% rental increase in 2023. This 2023 rental hike would make my monthly rent higher than bigger units on the property. When I confronted the property managers (Maureen and Steven), they just blamed the property company and instead tried to encourage me to upsize to a new apartment. When I told them I was moving out and was done with their games, they revealed to me that they wanted me out of my apartment so that they could renovate. And setting an extremely high rate would do the job. Absolutely no respect for their tenants. You will be screwed over by Maureen and Steven and they will just claim it's out of their hands.

Other gems - the parking garage is infested with rats. I'm not sure how many of them have made their way inside of apartments. I could hear them walking around along the ceiling but never encountered any inside my unit. Also, the parking garage is huge and will take you at least 5 minutes to exit and enter if you park on the 4th or 5th floor. There's also an insane amount of speed bumps, so your suspension will be worn over time. Enjoy seeing the smashed rats on your drive in.

The amenities are fine, but they are no different than any of the 100 super complexes in the Irvine area. The best part about the complex is the maintenance staff. Never had an issue getting anything replaced. 5 stars for that team. To Maureen and Steven... learn to respect your tenants and stop giving BS excuses.",5,3,1,4,1,2023-04-18T23:50:55.024Z,false,,,false
SANDSTONE CREEK APARTMENTS,US,OVERLAND PARK,KANSAS,66223,"This is one of the worst complexes I have lived in. The trash compactor is always broken, the front office staff is rude and the gate is always broken. We have had a huge hole in our ceiling for 3 months because they refuse to fix it. Never, EVER LIVE HERE!!!",1,2,2,1,1,2023-04-18T23:53:58.337Z,false,,,false
ADAMS STREET APARTMENT,US,COLLEGE PARK,GEORGIA,30337,"Great Landlord. Good apartment, getting better.",5,5,5,5,5,2023-04-18T23:54:20.112Z,false,,,false
SEAN VITATOE,US,LEXINGTON,KENTUCKY,40509,Very professional and attentive.  Nice price.,5,5,5,5,5,2023-04-18T23:56:16.528Z,false,,,false
UP MARKET REALTY,US,BAKERSFIELD,CALIFORNIA,93312,Horrible horrible horrible,1,2,1,1,1,2023-04-19T00:22:23.991Z,false,,,false
MYUNG HUN MOON AND YOUN KYUNG MOON TRUSTEES OF THE MOON FAMILY TRUST,US,BAKERSFIELD,CALIFORNIA,93311,"Discriminatory towards renter who received COVID 19 rental assistance.  Claim they served a 60 day notice, to allow family to move in, never did, now facing eviction.",1,1,1,1,1,2023-04-19T00:25:53.960Z,false,,,false
SONNY RODRIGUEZ,US,CORPUS CHRISTI,TEXAS,78412,"Only ever met him once to sign the lease. Texted him once when the fence fell down in a storm and someone came by to put up a new one the next day. I never bothered him and he never bothered me.

What else could you want from a landlord?",5,5,5,5,5,2023-04-19T00:27:08.640Z,false,,,false
TRUSTEES OF THE MOON FAMILY TRUST,US,BAKERSFIELD,CALIFORNIA,93311,"Removed all plants and tree in yard that tenant cared for, purposely evicting tenants who previously received COVID 19 rental assistance",1,1,1,1,1,2023-04-19T00:28:06.601Z,false,,,false
500 LEAVENWORTH LP,US,SAN FRANCISCO,CALIFORNIA,94109,Buildings are negligent in maintenance going back for years.  Mildew and mold.  Broken elevator. Rude staff and property managers.  No fire alarm system in building for several years.  All 1 star reviews on every possible website.,1,1,1,1,1,2023-04-19T00:31:17.565Z,false,,,false
CRISTINA MCCORMACK,US,BAKERSFIELD,CALIFORNIA,93312,"Private landlords. They were fair, and just. My A/C went out in the middle of summer, I called my landlord and told her. My landlord had a new unit installed the next day!. Didn’t charge an extra deposit for having a pet. I received my deposit back quickly after move out too. Would rent from again.",5,5,5,5,5,2023-04-19T00:33:36.935Z,false,,,false
KATHLEEN MARIE STRADER,US,LONG BEACH,CALIFORNIA,90808,"This woman is the pinnacle of greedy landlords. When she realized she could be getting more rent for the property, she decided to successively raise our rent three times in thirty minutes so that we would get three different notices from the property management company (International Property Management). After doing so, we didn’t immediately move out, so we then got a notice that she wanted to sell the property, so we would have to vacate. During inspection to let us know what repairs we would need to make, we asked if we could leave some appliances, to which she responded that next renters would surely appreciate that. So really, she lied about selling the house so that she could jack the rent up even more after having a pretext to kick us out. After we did everything we were asked to make sure we got our deposit back, they only gave us a check for a fourth of the deposit. So now we’re taking her to court. Do not live in this woman’s properties. She will raise the rent every chance she gets. She will delay repairs needed on appliances or other damages to the property if they are going to cost her more than a hundred bucks to fix. This woman should be banned from renting properties to anyone.",2,3,1,4,1,2023-04-19T00:34:09.948Z,false,,,false
ASHTON OAKS,US,HUDSON,FLORIDA,34654,"Rent increased 100% over the course of a few years 2019-2023 
800- 1600+ 
continues to soar
replaced AC unit 4 times",3,4,1,3,4,2023-04-19T00:34:39.648Z,false,,,false
RENAISSANCE APARTMENT HOMES (MISSION ROCK RESIDENTIAL),US,PHOENIX,ARIZONA,85029,"Units are all given the ""landlord special"" treatment with half inch deadly smelling paint, vents are painted shut, thermostats suck, but any repairs or modifications done by the tenant are allowed for the most part as long as they're not permanent. Appliances are ridiculously old, bathtubs and counters are peeling, and a lot of the apartment is out of code (ventilation in kitchen and bathroom, fireplace hearth extension, window pane type and thickness, electrical outlets not GFCI, etc). There is a mold problem in unit bathrooms due to lack of ventilation, as the fans do not exhaust outdoors as required by code in units that do not have windows in the bathrooms. There is no noise shared between adjacent units to the sides, but noise travels up and down through units due to lack of proper noise insulation between floors. I've only ever seen 1 roach a year while living here, and the complex was prompt in spraying for them. There are frequent car break ins and cops are here at least once a week. Upper management does not take most complaints about residents seriously, sometimes resulting in harm to other residents, but other staff members go out of their way to help. Allison, the property manager, is the only real problem in the office. The swimming pools are often dirty and the spa does not heat up. The property is pretty well cleaned, though most units look run down, as do many of the residents cars. Rent is absurd for the area but it's a reasonable concession considering that the other complexes around here are a thousand times worse. Kids run around unattended- they throw rocks at cars, will run out in front of moving vehicles as a game, vandalize the property, and ruin amenities. Parents dont care. The dog park contains valley fever, so don't let your pets near it. Be prepared to have to fight on the stupidest things, but overall, we've been pretty okay here and it's certainly better than paying double the amount for a Greystar managed property instead. For all the negatives, being allowed to exist peacefully as long as you have good neighbors is good enough for me.",2,2,5,5,4,2023-04-19T00:36:24.894Z,false,,,false
MARIPOSA APARTMENTS,US,HENDERSON,NEVADA,89074,"This multi unit complex houses over 15 2 story 1-2 bedroom apartments that are decent enough but yet the management seem to believe that they are 5th avenue townhome luxury quality with the amenities of a 5 star hotel in Dubai because the price of rent in this complex is beyond criminal for what you get.  2k VARIABLE monthly For a 2 bedroom 1 1/2 bath with patio which is infested with wasps, severely damaged lawns due to the illegal dog breeds Pit bulls, Boxers etc…that the owners allow to roam through with no regards to cleaning up behind them. A “Fitness center” that barely has a working treadmill you can forget about weights, the weight of the hours you need to work to pay the rent that seems to vary month to month will keep you nice and trim! A pool that is barely opened due to the public and careless renters that invite all of the best moral having people to take a dip in it and keep it filthy. Not to mention if you are to need help from the office… good luck with that! They never respond to your inquiries, nothing gets fixed but they will give you a nice manufactured smile if you can catch them between whatever hours they decide to work on any given day…",2,3,2,3,3,2023-04-19T00:44:50.419Z,false,,,false
MONIQUE REMILLARD,CA,MONTREAL,QUEBEC,H4G1H2,"I lived there for 7 years had cheap rent and she didn’t like me so she started manipulative tactics such as lying to neighbours that I complained about them to get them to turn on me, sending random eviction notices for futile reasons, sending city inspector over and showing up in my yard impromptu unannounced looking through the windows. Then she used a lawyer friend to intimidate me and bypass my lease transfer then sued me and lied about damages that existed before I even lived there, did not want résolution just wanted to affect my reputation in legal searches for next landlords. She is a nasty emotional retired boomer woman, plays the poor old lady but is actually a horrible person.",2,3,3,1,1,2023-04-19T00:57:05.614Z,false,,,false
FPI MANAGEMENT,US,MOUNTAIN VIEW,CALIFORNIA,95051,"Landlord knew about broken laundry machines and put in minimal effort to repair them, resulting in half a year of crowding around and waiting for the laundry machines on the other side of the complex.",1,3,3,3,1,2023-04-19T00:59:57.536Z,false,,,false
DEBORAH BOOKER,US,OKLAHOMA CITY,OKLAHOMA,73127,"God I've been hoping for the day I could do this. When I was renting from her, I painted the walls. We agreed if I painted them back, I could keep my deposit. I worked for a week to paint the walls back, then she took my whole deposit over nonsense things just because she could. 

Additionally, all the windows were siliconed shut, and the a/c never cooled the place sufficiently. Contacting her about any of that was always disappointing. She was a hassle to deal with and if you're ever considering renting from her, find somewhere else.",1,1,3,1,1,2023-04-19T01:00:01.006Z,false,,,false
SIMPLYBETTER,US,ODESSA,TEXAS,79762,"Poorly maintained building, shoddy construction with random sharp nails sticking out. 
Pool is green, brown, or black. Very nasty.
AC is inconsistent in the summer.",1,2,2,3,1,2023-04-19T01:00:04.098Z,false,,,false
MAYFIELD PLACE,US,ENFIELD,CONNECTICUT,06082,"Anyone looking for an apartment in Enfield should consider Mayfield Place. The apartments are a bit pricey but honestly the level of service is fantastic. They are professional,  courteous, and even go above and beyond in providing community activities. I have lived here for over 6 years, and another 6 in one of their other locations in Vernon, and have never had a bad experience.",5,5,5,5,5,2023-04-19T01:05:55.676Z,false,,,false
JACRAZ PROPERTIES,US,ASHEVILLE,NORTH CAROLINA,28801,Management company takes care of property and doesn’t raise rent often. Much cheaper than moving elsewhere.,5,5,5,5,5,2023-04-19T01:10:27.599Z,false,,,false
NOAH BECKENDORF,US,MORTON,ILLINOIS,61550,"Never actually got stay in the location, but landlord ghosted our group and blocked us on all contact avenues. Incredibly unprofessional! Would advise you dont give this crook any of your time",3,3,3,3,1,2023-04-19T01:14:01.187Z,false,,,false
BEAVER COVE APARTMENT CASCADE MANAGEMENT,US,LYNNWOOD,WASHINGTON,98036,"NO MATTER HOW DESPERATE YOU THINK YOU ARE, YOU'RE NOT THIS DESPERATE!
DON'T WALK, RUN!

I dont have enough ""character spaces"" to cover all the negative experiences I. For the last 4 years, I have lived here I have had to “bite my tongue” because I didn’t have the resources, knowledge, voice, confidence, or “law” on my side. So, I feared that any “noise” I made would be putting myself and my children at risk of not having a stable, secure, and safe place to live, and life would just spiral downward from there. The few times I did ask for necessities I was met with rudeness, like asking for the bare minimum asking too much, like helping was an inconvenience, evening stating “I don’t have time for this.” I have tried to contact corporate, but I’ve got the same type of response; stonewalled, or no response at all.


They abuse their power and are preemptively and premeditatively cruel. My daughter cried out in fear because she thought “we weren’t going to have a home anymore.” I was trying to give this “business” money and this company's “senior community manager” not only refused to take valid funds, but also showed my children and me the evils left in the world.",3,1,1,3,1,2023-04-19T01:25:38.812Z,false,,,false
CAMDEN OF BLOOMINGDALE,US,BLOOMINGDALE,ILLINOIS,60108,"This place charges additional fees on top of rent every month that equates to roughly about ~$150/month (“CAM fees”, sewage and water). They raise rent annually and only care about money and not tenants who pay timely. The workers are always taking smoke breaks and talk in condescending tones. The water is never replenished in the gym, the coffee is never refilled unless they are showing apartments to new comers. There are also spiders! All in all, not worth it.",1,3,1,2,3,2023-04-19T01:28:06.294Z,false,,,false
BIRGO REALTY,US,GLENSHAW,PENNSYLVANIA,15116,"Landlord regularly allows themselves access to tenants apartment units, without proper advance notification and for no reason. Landlord does improper repairs, a majority of the property is not maintained.",2,2,2,1,2,2023-04-19T01:28:12.457Z,false,,,false
WYNN,CA,VANCOUVER,BRITISH COLUMBIA,V5Y0C6,"Wynn themselves seem to be fine, but the owners of our unit are incredibly cheap and repair the unit with replacement items that do not match the apartment. Over time it's starting to look like a quilt with different patches, and not in a good way.",3,5,4,5,5,2023-04-19T01:35:15.073Z,false,,,false
PAUL WHITE,US,GIBSONIA,PENNSYLVANIA,15044,"This person should not be renting a property. It is a severely overpriced shack in a good neighborhood. Constant maintenance issues. Coming and going in and out at a moments notice. Hovering outside, calling more than needed, stressful situation overall. Just don't.",1,3,2,1,1,2023-04-19T01:45:35.736Z,false,,,false
